iterations,fitness,time,fevals
4830,93.0,0.021061961,4841
4840,93.0,0.02109697,4851
4850,93.0,0.021136354,4861
4860,93.0,0.021166621,4871
4870,93.0,0.021211476,4881
4880,93.0,0.021257789,4891
4890,93.0,0.021288421,4901
4900,93.0,0.021323795,4911
4910,93.0,0.021384331,4921
4920,93.0,0.021417881,4931
4930,93.0,0.021449243,4941
4940,93.0,0.021483887,4951
4950,93.0,0.021531659,4961
4960,93.0,0.021587089,4971
4970,93.0,0.021623191,4981
4980,93.0,0.021670234,4991
4990,93.0,0.021705607,5001
